day,collections
2015-09-21,1468
2015-09-22,1468
2015-09-23,1467
2015-09-24,1470
2015-09-25,1477
2015-09-26,1478
2015-09-27,1478
2015-09-28,1478
2015-09-29,1488
2015-09-30,1495
2015-10-01,1503
2015-10-02,1506
2015-10-03,1510
2015-10-04,1510
2015-10-05,1510
2015-10-06,1518
2015-10-07,1525
2015-10-08,1533
2015-10-09,1590
2015-10-10,1596
2015-10-11,1597
2015-10-12,1605
2015-10-13,1618
2015-10-14,1648
2015-10-15,1663
2015-10-16,1685
2015-10-17,1703
2015-10-18,1704
2015-10-19,1711
2015-10-20,1740
2015-10-21,1758
2015-10-22,1770
2015-10-23,1786
2015-10-24,1727
2015-10-25,1727
2015-10-26,1730
2015-10-27,1735
2015-10-28,1759
2015-10-29,1773
2015-10-30,1775
2015-10-31,1774
2015-11-01,1774
2015-11-02,1776
2015-11-03,1779
2015-11-04,1786
2015-11-05,1794
2015-11-06,1797
2015-11-07,1801
2015-11-08,1801
2015-11-09,1801
2015-11-10,1808
2015-11-11,1812
2015-11-12,1816
2015-11-13,1816
2015-11-14,1818
2015-11-15,1818
2015-11-16,1818
2015-11-17,1821
2015-11-18,1823
2015-11-19,1823
2015-11-20,1826
2015-11-21,1826
2015-11-22,1826
2015-11-23,1826
2015-11-24,1827
2015-11-25,1828
2015-11-26,1825
2015-11-27,1826
2015-11-28,1826
2015-11-29,1826
2015-11-30,1826
2015-12-01,1827
2015-12-02,1828
2015-12-03,1831
2015-12-04,1834
2015-12-05,1834
2015-12-06,1834
2015-12-07,1834
2015-12-08,1834
2015-12-09,1834
2015-12-10,1834
2015-12-11,1833
2015-12-12,1833
2015-12-13,1833
2015-12-14,1833
2015-12-15,1834
2015-12-16,1834
2015-12-17,1835
2015-12-18,1837
2015-12-19,1838
2015-12-20,1838
2015-12-21,1838
2015-12-22,1840
2015-12-23,1840
2015-12-24,1840
2015-12-25,1840
2015-12-26,1840
2015-12-27,1840
2015-12-28,1840
2015-12-29,1843
2015-12-30,1845
2015-12-31,1845
2016-01-01,1845
2016-01-02,1845
2016-01-03,1845
2016-01-04,1845
2016-01-05,1845
2016-01-06,1845
2016-01-07,1842
2016-01-08,1842
2016-01-09,1841
2016-01-10,1841
2016-01-11,1841
2016-01-12,1843
2016-01-13,1843
2016-01-14,1844
2016-01-15,1845
2016-01-16,1845
2016-01-17,1845
2016-01-18,1845
2016-01-19,1848
2016-01-20,1848
2016-01-21,1848
2016-01-22,1849
2016-01-23,1851
2016-01-24,1851
2016-01-25,1851
2016-01-26,1853
2016-01-27,1855
2016-01-28,1858
2016-01-29,1859
2016-01-30,1858
2016-01-31,1858
2016-02-01,1858
2016-02-02,1860
2016-02-03,1863
2016-02-04,1864
2016-02-05,1864
2016-02-06,1867
2016-02-07,1867
2016-02-08,1867
2016-02-09,1866
2016-02-10,1869
2016-02-11,1869
2016-02-12,1869
2016-02-13,1872
2016-02-14,1872
2016-02-15,1872
2016-02-16,1878
2016-02-17,1880
2016-02-18,1882
2016-02-19,1882
2016-02-20,1882
2016-02-21,1882
2016-02-22,1882
2016-02-23,1882
2016-02-24,1882
2016-02-25,1886
2016-02-26,1886
2016-02-27,1886
2016-02-28,1886
2016-02-29,1886
2016-03-01,1886
2016-03-02,1892
2016-03-03,1893
2016-03-04,1892
2016-03-05,1894
2016-03-06,1894
2016-03-07,1894
2016-03-08,1899
2016-03-09,1904
2016-03-10,1906
2016-03-11,1908
2016-03-12,1908
2016-03-13,1908
2016-03-14,1908
2016-03-15,1910
2016-03-16,1913
2016-03-17,1916
2016-03-18,1921
2016-03-19,1863
2016-03-20,1863
2016-03-21,1863
2016-03-22,1870
2016-03-23,1800
2016-03-24,1801
2016-03-25,1800
2016-03-26,1801
2016-03-27,1801
2016-03-28,1801
2016-03-29,1801
2016-03-30,1812
2016-03-31,1816
2016-04-01,1821
2016-04-02,1757
2016-04-03,1757
2016-04-04,1759
2016-04-05,1771
2016-04-06,1787
2016-04-07,1795
2016-04-08,1826
2016-04-09,1832
2016-04-10,1832
2016-04-11,1842
2016-04-12,1877
2016-04-13,1892
2016-04-14,1919
2016-04-15,1930
2016-04-16,1933
2016-04-17,1934
2016-04-18,1940
2016-04-19,1962
2016-04-20,1955
2016-04-21,1960
2016-04-22,1959
2016-04-23,1961
2016-04-24,1961
2016-04-25,1961
2016-04-26,1958
2016-04-27,1963
2016-04-28,1957
2016-04-29,1957
2016-04-30,1925
2016-05-01,1925
2016-05-02,1925
2016-05-03,1925
2016-05-04,1924
2016-05-05,1927
2016-05-06,1927
2016-05-07,1927
2016-05-08,1927
2016-05-09,1928
2016-05-10,1928
2016-05-11,1929
2016-05-12,1929
2016-05-13,1930
2016-05-14,1931
2016-05-15,1931
2016-05-16,1931
2016-05-17,1931
2016-05-18,1933
2016-05-19,1934
2016-05-20,1935
2016-05-21,1936
2016-05-22,1936
2016-05-23,1936
2016-05-24,1935
2016-05-25,1935
2016-05-26,1936
2016-05-27,1936
2016-05-28,1937
2016-05-29,1937
2016-05-30,1937
2016-05-31,1938
2016-06-01,1940
2016-06-02,1941
2016-06-03,1941
2016-06-04,1941
2016-06-05,1941
2016-06-06,1941
2016-06-07,1941
2016-06-08,1940
2016-06-09,1940
2016-06-10,1941
2016-06-11,1941
2016-06-12,1941
2016-06-13,1941
2016-06-14,1942
2016-06-15,1942
2016-06-16,1942
2016-06-17,1942
2016-06-18,1942
2016-06-19,1942
2016-06-20,1942
2016-06-21,1945
2016-06-22,1942
2016-06-23,1942
2016-06-24,1938
2016-06-25,1939
2016-06-26,1939
2016-06-27,1939
2016-06-28,1940
2016-06-29,1941
2016-06-30,1941
2016-07-01,1942
2016-07-02,1942
2016-07-03,1942
2016-07-04,1941
2016-07-05,1942
2016-07-06,1941
2016-07-07,1941
2016-07-08,1941
2016-07-09,1938
2016-07-10,1938
2016-07-11,1938
2016-07-12,1939
2016-07-13,1939
2016-07-14,1940
2016-07-15,1940
2016-07-16,1940
2016-07-17,1940
2016-07-18,1940
2016-07-19,1939
2016-07-20,1939
2016-07-21,1939
2016-07-22,1939
2016-07-23,1939
2016-07-24,1939
2016-07-25,1939
2016-07-26,1940
2016-07-27,1943
2016-07-28,1942
2016-07-29,1945
2016-07-30,1945
2016-07-31,1945
2016-08-01,1945
2016-08-02,1907
2016-08-03,1907
2016-08-04,1909
2016-08-05,1910
2016-08-06,1908
2016-08-07,1908
2016-08-08,1908
